Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
XPTO000011	BANCO PANAMERICANO S.A	CDB	R$ 15.000,00	23/05/2017	25/05/2020	1098	785	IPCA + 6,85%	INFLAÇÃO	R$ 1.500,00	10	R$ 19.311,10	28,740666666667	0,036612314	TRUE
XPTO000012	BANCO B.M.G. S.A	CDB	R$ 3.000,00	06/09/2017	08/09/2020	1098	785	10,58% a.a.	PRÉ-FIXADO	R$ 300,00	10	R$ 3.892,52	29,750666666667	0,037898938	TRUE
XPTO000013	BANCO B.M.G. S.A	CDB	R$ 10.000,00	06/10/2016	06/10/2020	1461	1044	118,00% do CDI	PÓS-FIXADO	R$ 1.000,00	10	R$ 12.706,11	27,061100000000	0,025920594	TRUE
XPTO000014	BANCO B.M.G. S.A	CDB	R$ 18.000,00	18/05/2017	29/10/2020	1260	901	117,50% do CDI	PÓS-FIXADO	R$ 1.800,00	10	R$ 21.124,84	17,360222222222	0,019267727	TRUE
XPTO000015	BANCO ABC-BRASIL S.A.	LCA	R$ 30.000,00	22/11/2019	23/11/2020	367	262	105,00% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 30.959,79	3,199300000000	0,012211069	TRUE
XPTO000016	BANCO ABC-BRASIL S.A.	LCA	R$ 10.000,00	22/11/2019	23/11/2020	367	262	105,00% do CDI	PÓS-FIXADO	R$ 1.000,00	10	R$ 10.046,12	0,461200000000	0,001760305	TRUE
XPTO000017	BANCO ABC-BRASIL S.A.	LCA	R$ 30.000,00	25/11/2019	25/11/2020	366	263	105,00% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 30.956,04	3,186800000000	0,012117110	TRUE
XPTO000018	BANCO ABC-BRASIL S.A.	LCA	R$ 30.000,00	26/11/2019	25/11/2020	365	262	105,00% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 30.952,29	3,174300000000	0,012115649	TRUE
XPTO000019	BANCO B.M.G. S.A	CDB	R$ 13.000,00	07/12/2017	07/12/2020	1096	783	11,03% a.a.	PRÉ-FIXADO	R$ 1.300,00	10	R$ 17.049,48	31,149846153846	0,039782690	TRUE
XPTO000020	BANCO ABC-BRASIL S.A.	LCA	R$ 20.000,00	28/05/2020	24/05/2021	361	258	105,00% do CDI	PÓS-FIXADO	R$ 2.000,00	10	R$ 20.225,58	1,127900000000	0,004371705	TRUE
XPTO000021	BANCO PANAMERICANO S.A	CDB	R$ 20.000,00	13/07/2018	03/11/2021	1209	864	12,00% a.a.	PRÉ-FIXADO	R$ 2.000,00	10	R$ 27.691,98	38,459900000000	0,044513773	TRUE
XPTO000022	BANCO B.M.G. S.A	CDB	R$ 5.000,00	09/05/2018	09/11/2021	1280	915	10,97% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 6.862,83	37,256600000000	0,040717596	TRUE
XPTO000023	BANCO PACTUAL S.A	LCA	R$ 5.000,00	11/05/2021	11/11/2021	184	133	IPCA + 4,61%	INFLAÇÃO	R$ 500,00	10	R$ 5.115,78	2,315600000000	0,017410526	TRUE
XPTO000024	BANCO B.M.G. S.A	CDB	R$ 5.000,00	01/06/2018	01/12/2021	1279	914	11,77% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 7.015,45	40,309000000000	0,044101751	TRUE
XPTO000025	BANCO PACTUAL S.A	LCA	R$ 2.000,00	11/06/2021	13/12/2021	185	132	IPCA + 5,34%	INFLAÇÃO	R$ 200,00	10	R$ 2.052,70	2,635000000000	0,019962121	TRUE
XPTO000026	BANCO PANAMERICANO S.A	CDB	R$ 20.000,00	02/10/2018	22/02/2022	1239	886	12,00% a.a.	PRÉ-FIXADO	R$ 2.000,00	10	R$ 27.949,11	39,745550000000	0,044859537	TRUE
XPTO000027	BANCO PANAMERICANO S.A	CDB	R$ 9.000,00	08/08/2018	24/05/2022	1385	990	12,00% a.a.	PRÉ-FIXADO	R$ 900,00	10	R$ 13.082,78	45,364222222222	0,045822447	TRUE
XPTO000028	BANCO B.M.G. S.A	CDB	R$ 16.000,00	29/05/2017	30/05/2022	1827	1306	119,00% do CDI	PÓS-FIXADO	R$ 1.600,00	10	R$ 21.407,80	33,798750000000	0,025879594	TRUE
XPTO000029	BANCO B.M.G. S.A	CDB	R$ 5.000,00	02/06/2017	02/06/2022	1826	1305	12,82% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 8.495,91	69,918200000000	0,053577165	TRUE
XPTO000030	BANCO ABC-BRASIL S.A.	LCA	R$ 2.000,00	10/12/2021	12/12/2022	367	262	IPCA + 4,86%	INFLAÇÃO	R$ 200,00	10	R$ 2.232,89	11,644500000000	0,044444656	TRUE
XPTO000031	BANCO ABC-BRASIL S.A.	LCA	R$ 3.000,00	13/12/2021	14/12/2022	366	263	IPCA + 4,84%	INFLAÇÃO	R$ 300,00	10	R$ 3.349,33	11,644333333333	0,044275032	TRUE
XPTO000032	BANCO ABC-BRASIL S.A.	LCA	R$ 2.000,00	14/12/2021	15/12/2022	366	263	IPCA + 4,93%	INFLAÇÃO	R$ 200,00	10	R$ 2.234,81	11,740500000000	0,044640684	TRUE
XPTO000033	BANCO ABC-BRASIL S.A.	LCA	R$ 3.000,00	14/12/2021	15/12/2022	366	263	IPCA + 4,94%	INFLAÇÃO	R$ 300,00	10	R$ 3.352,54	11,751333333333	0,044681876	TRUE
XPTO000034	BANCO ABC-BRASIL S.A.	LCA	R$ 5.000,00	14/02/2022	15/02/2023	366	263	12,11% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 5.608,04	12,160800000000	0,046238783	TRUE
XPTO000035	BANCO ABC-BRASIL S.A.	LCA	R$ 10.000,00	23/02/2022	24/02/2023	366	263	12,12% a.a.	PRÉ-FIXADO	R$ 1.000,00	10	R$ 11.206,91	12,069100000000	0,045890114	TRUE
XPTO000036	BANCO ABC-BRASIL S.A.	LCA	R$ 1.000,00	02/03/2022	03/03/2023	366	263	12,21% a.a.	PRÉ-FIXADO	R$ 100,00	10	R$ 1.122,61	12,261000000000	0,046619772	TRUE
XPTO000037	BANCO ABC-BRASIL S.A.	LCA	R$ 7.000,00	09/11/2021	03/05/2023	540	387	12,36% a.a.	PRÉ-FIXADO	R$ 700,00	10	R$ 8.310,16	18,716571428571	0,048363234	TRUE
XPTO000038	BANCO ABC-BRASIL S.A.	LCA	R$ 5.000,00	11/11/2021	05/05/2023	540	387	12,23% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 5.925,72	18,514400000000	0,047840827	TRUE
XPTO000039	BANCO SOFISA S.A	LCI	R$ 2.500,00	09/05/2022	09/05/2023	365	262	104,50% do CDI	PÓS-FIXADO	R$ 250,00	10	R$ 2.851,43	14,057200000000	0,053653435	TRUE
XPTO000040	BANCO SOFISA S.A	LCA	R$ 30.000,00	13/05/2022	15/05/2023	367	262	104,50% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 34.222,21	14,074033333333	0,053717684	TRUE
XPTO000041	BANCO SOFISA S.A	LCA	R$ 30.000,00	16/05/2022	16/05/2023	365	262	104,50% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 34.223,46	14,078200000000	0,053733588	TRUE
XPTO000042	BANCO ABC-BRASIL S.A.	LCA	R$ 5.000,00	23/11/2021	17/05/2023	540	387	12,54% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 5.952,62	19,052400000000	0,049231008	TRUE
XPTO000043	BANCO SOFISA S.A	LCA	R$ 13.000,00	24/05/2022	24/05/2023	365	262	104,50% do CDI	PÓS-FIXADO	R$ 1.300,00	10	R$ 14.833,43	14,103307692308	0,053829419	TRUE
XPTO000044	BANCO ABC-BRASIL S.A.	LCA	R$ 4.000,00	01/12/2021	25/05/2023	540	387	11,91% a.a.	PRÉ-FIXADO	R$ 400,00	10	R$ 4.722,80	18,070000000000	0,046692506	TRUE
XPTO000045	BANCO SOFISA S.A	LCI	R$ 12.000,00	26/05/2022	26/05/2023	365	262	104,50% do CDI	PÓS-FIXADO	R$ 1.200,00	10	R$ 13.693,40	14,111666666667	0,053861323	TRUE
XPTO000046	BANCO ABC-BRASIL S.A.	LCA	R$ 4.000,00	02/12/2021	26/05/2023	540	387	11,84% a.a.	PRÉ-FIXADO	R$ 400,00	10	R$ 4.718,44	17,961000000000	0,046410853	TRUE
XPTO000047	BANCO SOFISA S.A	LCI	R$ 22.000,00	30/05/2022	30/05/2023	365	262	104,50% do CDI	PÓS-FIXADO	R$ 2.200,00	10	R$ 25.106,41	14,120045454546	0,053893303	TRUE
XPTO000048	BANCO ABC-BRASIL S.A.	LCA	R$ 5.000,00	01/07/2022	03/07/2023	367	262	IPCA + 5,84%	INFLAÇÃO	R$ 500,00	10	R$ 5.499,04	9,980800000000	0,038094656	TRUE
XPTO000049	BANCO DAYCOVAL S.A	LCA	R$ 1.000,00	08/08/2022	14/08/2023	371	266	IPCA + 7,14%	INFLAÇÃO	R$ 100,00	10	R$ 1.107,58	10,758000000000	0,040443609	TRUE
XPTO000050	BANCO ABC-BRASIL S.A.	LCA	R$ 1.107,08	28/07/2023	25/08/2023	28	21	13,80% a.a.	PRÉ-FIXADO	R$ 110,71	10	R$ 1.117,94	0,980958918958	0,046712329	TRUE
XPTO000051	BANCO ABC-BRASIL S.A.	LCA	R$ 2.200,00	03/10/2022	04/10/2023	366	263	12,35% a.a.	PRÉ-FIXADO	R$ 220,00	10	R$ 2.471,70	12,350000000000	0,046958175	TRUE
XPTO000052	BANCO PANAMERICANO S.A	LCI	R$ 20.000,00	24/11/2020	09/11/2023	1080	773	7,33% a.a.	PRÉ-FIXADO	R$ 2.000,00	10	R$ 24.638,15	23,190750000000	0,030000970	TRUE
XPTO000053	BANCO DE BRASILIA S.A	LCI	R$ 10.333,23	13/11/2023	15/01/2024	63	46	14,00% a.a.	PRÉ-FIXADO	R$ 1.033,32	10	R$ 10.561,36	2,207731754737	0,047994169	TRUE
XPTO000054	BANCO ABC-BRASIL S.A.	LCA	R$ 10.000,00	11/02/2022	01/02/2024	720	515	101,00% do CDI	PÓS-FIXADO	R$ 1.000,00	10	R$ 12.725,02	27,250200000000	0,052913010	TRUE
XPTO000055	BANCO ABC-BRASIL S.A.	LCA	R$ 2.200,00	17/02/2022	07/02/2024	720	515	12,00% a.a.	PRÉ-FIXADO	R$ 220,00	10	R$ 2.746,06	24,820909090909	0,048195940	TRUE
XPTO000056	BANCO ABC-BRASIL S.A.	LCA	R$ 10.000,00	23/02/2022	14/02/2024	721	516	11,93% a.a.	PRÉ-FIXADO	R$ 1.000,00	10	R$ 12.461,26	24,612600000000	0,047698837	TRUE
XPTO000057	BANCO ABC-BRASIL S.A.	LCA	R$ 7.000,00	14/02/2022	15/02/2024	731	524	IPCA + 5,61%	INFLAÇÃO	R$ 700,00	10	R$ 8.633,27	23,332428571429	0,044527535	TRUE
XPTO000058	BANCO ABC-BRASIL S.A.	LCA	R$ 1.000,00	04/03/2022	22/02/2024	720	515	12,63% a.a.	PRÉ-FIXADO	R$ 100,00	10	R$ 1.261,98	26,198000000000	0,050869903	TRUE
XPTO000059	BANCO ABC-BRASIL S.A.	LCA	R$ 8.000,00	23/02/2022	26/02/2024	733	524	IPCA + 5,63%	INFLAÇÃO	R$ 800,00	10	R$ 9.858,52	23,231500000000	0,044334924	TRUE
XPTO000060	BANCO B.M.G. S.A	CDB	R$ 2.000,00	01/12/2022	02/02/2023	63	46	115,00% do CDI	PÓS-FIXADO	R$ 200,00	10	R$ 2.030,00	1,500000000000	0,032608696	TRUE
XPTO000061	BANCO DAYCOVAL S.A	LCA	R$ 5.000,00	22/03/2023	26/03/2024	370	265	IPCA + 6,13%	INFLAÇÃO	R$ 500,00	10	R$ 5.552,05	11,041000000000	0,041664151	TRUE
XPTO000062	BANCO PINE S.A	LCI	R$ 8.912,09	07/02/2024	05/04/2024	58	43	12,50% a.a.	PRÉ-FIXADO	R$ 891,21	10	R$ 9.076,03	1,839523613429	0,042779619	TRUE
XPTO000063	BANCO PINE S.A	LCI	R$ 1.058,75	05/10/2023	08/04/2024	186	133	14,20% a.a.	PRÉ-FIXADO	R$ 105,88	10	R$ 1.129,55	6,687131050767	0,050279181	TRUE
XPTO000064	BANCO SOFISA S.A	LCI	R$ 4.400,00	02/05/2023	02/05/2024	366	263	104,50% do CDI	PÓS-FIXADO	R$ 440,00	10	R$ 4.967,79	12,904318181818	0,049065849	TRUE
XPTO000065	BANCO SOFISA S.A	LCI	R$ 8.300,00	03/05/2023	03/05/2024	366	263	104,50% do CDI	PÓS-FIXADO	R$ 830,00	10	R$ 9.370,03	12,891927710843	0,049018737	TRUE
XPTO000066	BANCO SOFISA S.A	LCI	R$ 5.900,00	05/05/2023	06/05/2024	367	262	104,50% do CDI	PÓS-FIXADO	R$ 590,00	10	R$ 6.656,35	12,819491525424	0,048929357	TRUE
XPTO000067	BANCO SOFISA S.A	LCA	R$ 5.400,00	09/05/2023	09/05/2024	366	263	104,50% do CDI	PÓS-FIXADO	R$ 540,00	10	R$ 6.093,46	12,841851851852	0,048828334	TRUE
XPTO000068	PRIMACREDI COOPERATIVA	LCA	R$ 1.102,00	01/09/2023	17/05/2024	259	186	104,00% do CDI	PÓS-FIXADO	R$ 110,20	10	R$ 1.192,99	8,256805807623	0,044391429	TRUE
XPTO000069	BANCO SOFISA S.A	LCA	R$ 5.800,00	17/05/2023	17/05/2024	366	263	104,50% do CDI	PÓS-FIXADO	R$ 580,00	10	R$ 6.540,10	12,760344827586	0,048518421	TRUE
XPTO000070	BANCO SOFISA S.A	LCA	R$ 14.700,00	24/05/2023	24/05/2024	366	263	104,50% do CDI	PÓS-FIXADO	R$ 1.470,00	10	R$ 16.565,82	12,692653061225	0,048261038	TRUE
XPTO000071	BANCO SOFISA S.A	LCI	R$ 9.500,00	26/05/2023	27/05/2024	367	262	104,50% do CDI	PÓS-FIXADO	R$ 950,00	10	R$ 10.698,83	12,619263157895	0,048165127	TRUE
XPTO000072	BANCO SOFISA S.A	LCA	R$ 4.600,00	25/05/2023	27/05/2024	368	263	104,50% do CDI	PÓS-FIXADO	R$ 460,00	10	R$ 5.183,23	12,678913043478	0,048208795	TRUE
XPTO000073	BANCO PINE S.A	LCA	R$ 2.166,28	04/09/2023	27/05/2024	266	191	14,00% a.a.	PRÉ-FIXADO	R$ 216,63	10	R$ 2.377,45	9,748047343834	0,051036897	TRUE
XPTO000074	BANCO SOFISA S.A	LCA	R$ 25.000,00	30/05/2022	31/05/2024	732	525	104,50% do CDI	PÓS-FIXADO	R$ 2.500,00	10	R$ 28.159,61	12,638440000000	0,024073219	TRUE
XPTO000075	BANCO ABC-BRASIL S.A.	LCA	R$ 5.000,00	03/06/2022	03/06/2024	731	522	5,13% a.a.	PRÉ-FIXADO	R$ 500,00	10	R$ 5.963,82	19,276400000000	0,036927969	TRUE
23C01802691	BANCO PINE S.A	LCI	R$ 1.029,29	10/08/2023	17/06/2024	312	223	14,00% a.a.	PRÉ-FIXADO	R$ 102,93	10	R$ 1.148,04	11,537078957340	0,051735780	TRUE
21G00616399	BANCO DAYCOVAL S.A	LCA	R$ 5.999,99	24/05/2024	03/07/2024	40	29	115,00% do CDI	PÓS-FIXADO	R$ 600,00	10	R$ 6.073,29	1,221668702781	0,042126507	TRUE
XPTO000076	BANCO B.M.G. S.A	CDB	R$ 2.999,11	24/02/2023	15/07/2024	507	362	IPCA + 9,10%	INFLAÇÃO	R$ 299,91	10	R$ 3.311,71	10,423092184015	0,028793072	TRUE
XPTO000077	BANCO DAYCOVAL S.A	LCA	R$ 2.000,00	03/08/2022	25/07/2024	722	517	105,00% do CDI	PÓS-FIXADO	R$ 200,00	10	R$ 2.555,07	27,753500000000	0,053681818	TRUE
CDB31949IXO	BANCO B.M.G. S.A	CDB	R$ 4.271,59	24/02/2023	15/08/2024	538	385	IPCA + 9,07%	INFLAÇÃO	R$ 427,16	10	R$ 5.026,22	17,666255422454	0,045886378	TRUE
20H00718499	BANCO ABC-BRASIL S.A.	LCA	R$ 9.521,07	16/11/2023	19/08/2024	277	198	13,60% a.a.	PRÉ-FIXADO	R$ 952,11	10	R$ 10.046,39	5,517447093656	0,027865894	TRUE
CDB322G4QQG	BANCO B.M.G. S.A	CDB	R$ 1.127,94	05/03/2024	19/08/2024	167	120	14,35% a.a.	PRÉ-FIXADO	R$ 112,79	10	R$ 1.199,76	6,367359965956	0,053061333	TRUE
22J01254778	PRIMACREDI COOPERATIVA	LCA	R$ 4.416,82	09/08/2023	16/10/2024	434	311	104,00% do CDI	PÓS-FIXADO	R$ 441,68	10	R$ 5.043,06	14,178526632283	0,045590118	TRUE
22J01254778	PRIMACREDI COOPERATIVA	LCA	R$ 2.297,05	04/12/2023	16/10/2024	317	228	104,00% do CDI	PÓS-FIXADO	R$ 229,71	10	R$ 2.521,53	9,772534337520	0,042861993	TRUE
22J01254778	PRIMACREDI COOPERATIVA	LCA	R$ 12.120,31	31/05/2024	16/10/2024	138	99	102,00% do CDI	PÓS-FIXADO	R$ 1.212,03	10	R$ 12.607,65	4,020854252078	0,040614689	TRUE
22J01293054	PRIMACREDI COOPERATIVA	LCA	R$ 1.244,84	04/09/2024	17/10/2024	43	32	102,00% do CDI	PÓS-FIXADO	R$ 124,48	10	R$ 1.260,62	1,267632788149	0,039613525	TRUE
22J01293054	PRIMACREDI COOPERATIVA	LCA	R$ 1.105,21	14/08/2023	18/10/2024	431	310	104,00% do CDI	PÓS-FIXADO	R$ 110,52	10	R$ 1.260,49	14,049818586513	0,045321995	TRUE
22K00753295	PRIMACREDI COOPERATIVA	LCA	R$ 1.224,43	10/07/2024	18/10/2024	100	73	102,00% do CDI	PÓS-FIXADO	R$ 122,44	10	R$ 1.260,49	2,945043816306	0,040343066	TRUE
22K00018947	PRIMACREDI COOPERATIVA	LCA	R$ 5.514,52	10/08/2023	22/10/2024	439	314	104,00% do CDI	PÓS-FIXADO	R$ 551,45	10	R$ 6.301,09	14,263616778976	0,045425531	TRUE
22K00019002	PRIMACREDI COOPERATIVA	LCA	R$ 10.999,65	08/07/2024	22/10/2024	106	77	102,00% do CDI	PÓS-FIXADO	R$ 1.099,97	10	R$ 11.341,97	3,112099021332	0,040416870	TRUE
22K00753295	PRIMACREDI COOPERATIVA	LCA	R$ 2.442,24	11/07/2024	29/10/2024	110	79	102,00% do CDI	PÓS-FIXADO	R$ 244,22	10	R$ 2.520,38	3,199521750524	0,040500275	TRUE
22K00753295	PRIMACREDI COOPERATIVA	LCA	R$ 4.913,91	01/08/2024	29/10/2024	89	64	102,00% do CDI	PÓS-FIXADO	R$ 491,39	10	R$ 5.040,76	2,581447360656	0,040335115	TRUE
XPTO000078	BANCO ABC-BRASIL S.A.	LCA	R$ 3.000,00	10/11/2022	30/10/2024	720	515	100,00% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 3.761,15	25,371666666667	0,049265372	TRUE
21K00047184	BANCO PACTUAL S.A	LCA	R$ 20.000,00	03/11/2021	04/11/2024	1097	784	11,25% a.a.	PRÉ-FIXADO	R$ 2.000,00	10	R$ 27.537,85	37,689250000000	0,048073023	TRUE
XPTO000079	BANCO ABC-BRASIL S.A.	LCA	R$ 3.000,00	18/11/2022	07/11/2024	720	515	13,46% a.a.	PRÉ-FIXADO	R$ 300,00	10	R$ 3.848,42	28,280666666667	0,054913916	TRUE
XPTO000080	BANCO ABC-BRASIL S.A.	LCI	R$ 7.000,00	01/12/2020	11/11/2024	1441	1030	7,51% a.a.	PRÉ-FIXADO	R$ 700,00	10	R$ 9.308,86	32,983714285714	0,032023024	TRUE
XPTO000081	BANCO B.M.G. S.A	CDB	R$ 30.150,00	20/11/2019	20/11/2024	1827	1306	118,00% do CDI	PÓS-FIXADO	R$ 3.015,00	10	R$ 45.907,64	52,264145936982	0,040018488	TRUE
CDB421G2A3V	BANCO PINE S.A	CDB	R$ 7.845,38	16/07/2024	02/12/2024	139	100	IPCA + 9,10%	INFLAÇÃO	R$ 784,54	10	R$ 8.226,82	4,861969719759	0,048619697	TRUE
XPTO000082	BANCO DAYCOVAL S.A	LCI	R$ 6.000,00	14/12/2022	05/12/2024	722	517	13,95% a.a.	PRÉ-FIXADO	R$ 600,00	10	R$ 7.762,54	29,375666666667	0,056819471	TRUE
22L00376315	BANCO PINE S.A	LCA	R$ 3.271,63	06/09/2023	11/12/2024	462	331	104,00% do CDI	PÓS-FIXADO	R$ 327,16	10	R$ 3.754,67	14,764505766239	0,044605758	TRUE
XPTO000083	BANCO DAYCOVAL S.A	LCI	R$ 3.500,27	02/01/2023	24/12/2024	722	517	100,00% do CDI	PÓS-FIXADO	R$ 350,03	10	R$ 4.337,04	23,905870118591	0,046239594	TRUE
23A00215785	BANCO PINE S.A	LCI	R$ 1.066,51	05/09/2023	06/01/2025	489	350	14,00% a.a.	PRÉ-FIXADO	R$ 106,65	10	R$ 1.268,83	18,970286260795	0,054200818	TRUE
XPTO000084	BANCO PARANA BANCO S.A	CDB	R$ 30.000,00	21/11/2024	11/04/2025	141	102	130,00% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 32.000,00	6,666666666667	0,065359477	TRUE
XPTO000085	BANCO VOTORANTIM S.A.	CDB	R$ 27.037,85	05/11/2024	16/04/2025	162	117	136,00% do CDI	PÓS-FIXADO	R$ 2.703,79	10	R$ 27.037,86	0,000036985189	0,000000316	TRUE
XPTO000086	BANCO VOTORANTIM S.A.	CDB	R$ 3.848,42	07/11/2024	16/04/2025	160	115	136,00% do CDI	PÓS-FIXADO	R$ 384,84	10	R$ 3.848,43	0,000259846898	0,000002260	TRUE
XPTO000087	BANCO VOTORANTIM S.A.	CDB	R$ 7.900,01	14/11/2024	16/04/2025	153	110	136,00% do CDI	PÓS-FIXADO	R$ 790,00	10	R$ 7.900,02	0,000126582118	0,000001151	TRUE
XPTO000088	BANCO VOTORANTIM S.A.	CDB	R$ 11.213,72	21/11/2024	16/04/2025	146	105	136,00% do CDI	PÓS-FIXADO	R$ 1.121,37	10	R$ 11.213,73	0,000089176473	0,000000849	TRUE
XPTO000089	BANCO B.M.G. S.A	CDB	R$ 19.000,00	28/04/2020	28/04/2025	1826	1305	9,58% a.a.	PRÉ-FIXADO	R$ 1.900,00	10	R$ 28.311,44	49,007578947368	0,037553700	TRUE
CDB22164Q35	BANCO B.M.G. S.A	CDB	R$ 1.200,78	22/02/2024	28/04/2025	431	308	13,10% a.a.	PRÉ-FIXADO	R$ 120,08	10	R$ 1.354,90	12,834990589450	0,041672047	TRUE
23E00982502	BANCO PINE S.A	LCI	R$ 12.390,11	08/12/2023	05/05/2025	514	367	13,50% a.a.	PRÉ-FIXADO	R$ 1.239,01	10	R$ 14.773,92	19,239619341556	0,052424031	TRUE
23E01682387	BANCO ABC-BRASIL S.A.	LCA	R$ 1.018,42	04/08/2023	13/05/2025	648	463	101,00% do CDI	PÓS-FIXADO	R$ 101,84	10	R$ 1.238,20	21,580487421692	0,046610124	TRUE
XPTO000090	BANCO DAYCOVAL S.A	LCI	R$ 2.800,00	01/06/2023	23/05/2025	722	517	IPCA + 6,31%	INFLAÇÃO	R$ 280,00	10	R$ 3.452,57	23,306071428571	0,045079442	TRUE
CDB223OAMO2	BANCO B.M.G. S.A	CDB	R$ 2.651,19	02/04/2024	05/06/2025	429	308	CDI + 1,55%	PÓS-FIXADO	R$ 265,12	10	R$ 3.001,18	13,201241706554	0,042861174	TRUE
22F00142376	BANCO INTER	LCI	R$ 4.999,99	15/01/2024	06/06/2025	508	365	IPCA + 6,50%	INFLAÇÃO	R$ 500,00	10	R$ 5.892,19	17,844035688071	0,048887769	TRUE
XPTO000091	BANCO ABC-BRASIL S.A.	LCI	R$ 10.000,00	02/08/2023	23/07/2025	721	516	100,00% do CDI	PÓS-FIXADO	R$ 1.000,00	10	R$ 12.494,62	24,946200000000	0,048345349	TRUE
XPTO000092	BANCO DAYCOVAL S.A	LCA	R$ 2.200,00	15/09/2022	01/09/2025	1082	773	12,35% a.a.	PRÉ-FIXADO	R$ 220,00	10	R$ 3.099,78	40,899090909091	0,052909561	TRUE
XPTO000093	BANCO B.M.G. S.A	CDB	R$ 30.000,00	02/09/2019	02/09/2025	2192	1567	8,28% a.a.	PRÉ-FIXADO	R$ 3.000,00	10	R$ 45.534,04	51,780133333333	0,033044118	TRUE
CDB123Q2PEB	BANCO B.M.G. S.A	CDB	R$ 5.671,49	04/03/2024	02/09/2025	547	392	14,21% a.a.	PRÉ-FIXADO	R$ 567,15	10	R$ 6.703,45	18,195571181471	0,046417273	TRUE
XPTO000094	BANCO ABC-BRASIL S.A.	LCA	R$ 3.000,00	11/10/2022	13/10/2025	1098	785	99,05% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 4.273,63	42,454333333333	0,054081953	TRUE
CDB420CE6LX	BANCO PANAMERICANO S.A	CDB	R$ 10.000,00	26/11/2020	26/11/2025	1826	1305	9,40% a.a.	PRÉ-FIXADO	R$ 1.000,00	10	R$ 14.801,06	48,010600000000	0,036789732	TRUE
XPTO000095	BANCO B.M.G. S.A	CDB	R$ 30.150,00	27/11/2019	27/11/2025	2192	1567	120,00% do CDI	PÓS-FIXADO	R$ 3.015,00	10	R$ 53.399,80	77,113764510780	0,049211081	TRUE
